,,,,,,,,,,,,,,,,,,,
순번,대학(원),학과(부),학년,이수구분,이수영역,학수번호,교과목명,교과목명(영문),담당교수,강의실,시간표(교시),시간표(시간),교시유형,학점,수업구분,수업유형,성적평가,집중이수제,원어강의구분
1847,교양,교양,전학년,핵심교양,(핵심)사회,0005077002,국제정세의이해,Understanding International Affairs,송윤진,제12호관 컨벤션센터-501 강의실(소)-6[12-501], [12-501:목(7-8A)(8B-9)], [12-501:목(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1848,교양,교양,전학년,핵심교양,(핵심)외국어,0005414001,초급영어글쓰기,Basic English Writing,김혜경,제12호관 컨벤션센터-304 토론식강의실2[12-304], [12-304:목(3)(4)], [12-304:목(11:00~11:50)(12:00~12:50)],50분(표준),2,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1849,교양,교양,전학년,핵심교양,(핵심)외국어,0005414002,초급영어글쓰기,Basic English Writing,김혜경,제12호관 컨벤션센터-301 토론식강의실1[12-301], [12-301:목(5)(6)], [12-301:목(13:00~13:50)(14:00~14:50)],50분(표준),2,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1850,교양,교양,전학년,핵심교양,(핵심)사회,0006403001,창의적사고와문제해결,Creative Thinking and Problem Solving,양태연,제12호관 컨벤션센터-302 스마트강의실1[12-302], [12-302:목(7)(8)(9)], [12-302:목(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1851,교양,교양,전학년,핵심교양,(핵심)사회,0006433001,현대사회와빅데이터,The Modern Society and Big Data Analysis,양태연,제12호관 컨벤션센터-302 스마트강의실1[12-302], [12-302:수(7)(8)(9)], [12-302:수(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1852,교양,교양,전학년,핵심교양,(핵심)사회,0006433002,현대사회와빅데이터,The Modern Society and Big Data Analysis,양태연,제12호관 컨벤션센터-302 스마트강의실1[12-302], [12-302:수(3)(4)(5)], [12-302:수(11:00~11:50)(12:00~12:50)(13:00~13:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1853,교양,교양,전학년,핵심교양,(핵심)사회,0006433003,현대사회와빅데이터,The Modern Society and Big Data Analysis,양태연,제12호관 컨벤션센터-302 스마트강의실1[12-302], [12-302:화(7)(8)(9)], [12-302:화(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1854,교양,교양,전학년,핵심교양,(핵심)인문,0007030001,인천의역사지형탐색,Research on the Historical topography of Incheon,이상의,제12호관 컨벤션센터-503 계단강의실(소)[12-503], [12-503:수(2)(3)(4)], [12-503:수(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1855,교양,교양,전학년,핵심교양,(핵심)과학기술,0007357001,인문으로수학읽기,Understanding Mathematics with Humanities,이승재,제5호관 자연과학대학·생명과학기술대학-309 강의실(중)-1[05-309], [05-309:수(5B-6)(7-8A)], [05-309:수(13:30~14:45)(15:00~16:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1856,교양,교양,전학년,핵심교양,(핵심)과학기술,0007369001,알기쉬운통계원리,An Easy Statistics Theory,최원,,,,75분,3,일반과목,e-Learning,상대평가,일반(1~15주),비대상
1857,교양,교양,전학년,핵심교양,(핵심)과학기술,0007370001,(이공계를위한)수학,Mathematics(for the Students of Natural Science and Engineering Colleges),김인현,제5호관 자연과학대학·생명과학기술대학-104A 응용수학실습실[05-104A]," [05-104A:화(2B-3),목(5B-6)]"," [05-104A:화(10:30~11:45),목(13:30~14:45)]",75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1858,교양,교양,전학년,핵심교양,(핵심)인문,0007399001,근현대세계와한국사,Modern and Contemporary the World and Korea History,이상의,제12호관 컨벤션센터-503 계단강의실(소)[12-503], [12-503:수(7-8A)(8B-9)], [12-503:수(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1859,교양,교양,전학년,핵심교양,(핵심)인문,0007399002,근현대세계와한국사,Modern and Contemporary the World and Korea History,이상의,제12호관 컨벤션센터-503 계단강의실(소)[12-503], [12-503:화(7-8A)(8B-9)], [12-503:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1860,교양,교양,전학년,핵심교양,(핵심)인문,0007399003,근현대세계와한국사,Modern and Contemporary the World and Korea History,황묘희,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:금(4)(5)(6)], [12-203:금(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1861,교양,교양,전학년,핵심교양,(핵심)인문,0007399004,근현대세계와한국사,Modern and Contemporary the World and Korea History,황묘희,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:금(7)(8)(9)], [12-203:금(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1862,교양,교양,전학년,핵심교양,(핵심)과학기술,0009338001,문제해결을위한파이썬,Python for Problem Solving,이선아,제12호관 컨벤션센터-302 스마트강의실1[12-302], [12-302:월(6)(7)(8)], [12-302:월(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1863,교양,교양,전학년,핵심교양,(핵심)과학기술,0009338002,문제해결을위한파이썬,Python for Problem Solving,김백현,제12호관 컨벤션센터-305 스마트강의실2[12-305], [12-305:수(7-8A)(8B-9)], [12-305:수(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1864,교양,교양,전학년,핵심교양,(핵심)과학기술,0009338003,문제해결을위한파이썬,Python for Problem Solving,김백현,제12호관 컨벤션센터-305 스마트강의실2[12-305], [12-305:화(6)(7)(8)], [12-305:화(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1865,교양,교양,전학년,핵심교양,(핵심)INU세미나,0010154001,근대적지식인은어떻게탄생하였나세미나,Seminar in the Birth of Modern Intellectuals,이상원,제12호관 컨벤션센터-301 토론식강의실1[12-301], [12-301:수(7-8A)(8B-9)], [12-301:수(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1866,교양,교양,전학년,핵심교양,(핵심)INU세미나,0010154002,근대적지식인은어떻게탄생하였나세미나,Seminar in the Birth of Modern Intellectuals,이용화,제15호관 인문대학-211 토론식강의실1[15-211], [15-211:수(7)(8)(9)], [15-211:수(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),이수인정,일반(1~15주),원어강의(EN)
1867,교양,교양,전학년,핵심교양,(핵심)예술체육,0010541001,영화속으로들어간클래식음악,Classic Music in Movies,김상림,,,,50분(표준),3,일반과목,e-Learning,상대평가,일반(1~15주),비대상
1868,교양,교양,전학년,핵심교양,(핵심)사회,0010641001,지역사회와사회공헌,Community and social contribution,이지혜,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:금(야1)(야2)], [12-101:금(18:00~18:50)(18:55~19:45)],50분(표준),1,일반과목,"담장너머~,사회봉사(1)",이수인정,일반(1~15주),비대상
1869,교양,교양,전학년,핵심교양,(핵심)사회,0010641002,지역사회와사회공헌,Community and social contribution,이지혜,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:목(야1)(야2)], [12-101:목(18:00~18:50)(18:55~19:45)],50분(표준),1,일반과목,"담장너머~,사회봉사(1)",이수인정,일반(1~15주),비대상
1870,교양,교양,전학년,핵심교양,(핵심)사회,0010641003,지역사회와사회공헌,Community and social contribution,이지혜,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:수(야1)(야2)], [12-101:수(18:00~18:50)(18:55~19:45)],50분(표준),1,일반과목,"담장너머~,사회봉사(1)",이수인정,일반(1~15주),비대상
1871,교양,교양,전학년,핵심교양,(핵심)사회,0010641004,지역사회와사회공헌,Community and social contribution,이지혜,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:화(야1)(야2)], [12-101:화(18:00~18:50)(18:55~19:45)],50분(표준),1,일반과목,"담장너머~,사회봉사(1)",이수인정,일반(1~15주),비대상
1872,교양,교양,전학년,핵심교양,(핵심)사회,0010641005,지역사회와사회공헌,Community and social contribution,이지혜,제15호관 인문대학-201 SOUP강의실(계단식(대))[15-201], [15-201:화(7)(8)], [15-201:화(15:00~15:50)(16:00~16:50)],50분(표준),1,일반과목,"담장너머~,사회봉사(1)",이수인정,일반(1~15주),비대상
1873,교양,교양,전학년,핵심교양,(핵심)사회,0010641006,지역사회와사회공헌,Community and social contribution,이지혜,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:월(야1)(야2)], [12-101:월(18:00~18:50)(18:55~19:45)],50분(표준),1,일반과목,"담장너머~,사회봉사(1)",이수인정,일반(1~15주),비대상
1874,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011229001,MBTI로찾아가는나의책,My Book that Goes Back to MBTI,박상원,제12호관 컨벤션센터-304 토론식강의실2[12-304], [12-304:수(1-2A)(2B-3)], [12-304:수(09:00~10:15)(10:30~11:45)],75분,3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1875,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011230001,세상의심장으로자신을브랜드하라,Brand Yourself with the Heart of the World,양근용,제12호관 컨벤션센터-301 토론식강의실1[12-301], [12-301:화(6)(7)(8)], [12-301:화(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1876,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011231001,일리아스와오딧세이아에서아모르파티,Amor Fati in the Iliad and the Odyssey,송대현,제12호관 컨벤션센터-304 토론식강의실2[12-304], [12-304:수(5B-6)(7-8A)], [12-304:수(13:30~14:45)(15:00~16:15)],75분,3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1877,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011232001,차라투스트라춤추는별이되어라,Zarathustra Be A Dancing Star,송대현,제12호관 컨벤션센터-501 강의실(소)-6[12-501], [12-501:월(7-8A)(8B-9)], [12-501:월(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1878,교양,교양,전학년,핵심교양,(핵심)사회,0011241001,취창업진로세미나,Job and Start up Career Seminar,취업경력개발원,제12호관 컨벤션센터-105 하곡강의실(계단식(대))[12-105], [12-105:수(9)], [12-105:수(17:00~17:50)],50분(표준),1,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1879,교양,교양,전학년,핵심교양,(핵심)사회,0011241002,취창업진로세미나,Job and Start up Career Seminar,취업경력개발원,제12호관 컨벤션센터-105 하곡강의실(계단식(대))[12-105], [12-105:수(8)], [12-105:수(16:00~16:50)],50분(표준),1,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1880,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011244001,현대과학의풍경읽기,Understanding of Modern Science and Technology,정경숙,제12호관 컨벤션센터-304 토론식강의실2[12-304], [12-304:화(7)(8)(9)], [12-304:화(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1881,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011631001,문학욕망의윤리를말하다,Literature talks about the ethics of desire,최혜림,제12호관 컨벤션센터-301 토론식강의실1[12-301], [12-301:수(4)(5)(6)], [12-301:수(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1882,교양,교양,전학년,핵심교양,(핵심)외국어,0011640001,기초프랑스어,Basic French,김용민,제12호관 컨벤션센터-304 토론식강의실2[12-304], [12-304:목(5B-6)(7-8A)], [12-304:목(13:30~14:45)(15:00~16:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1883,교양,교양,전학년,핵심교양,(핵심)외국어,0011640002,기초프랑스어,Basic French,이명은,제12호관 컨벤션센터-407 강의실(소)-4[12-407], [12-407:수(6)(7)(8)], [12-407:수(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1884,교양,교양,전학년,핵심교양,(핵심)외국어,0011640003,기초프랑스어,Basic French,이명은,제12호관 컨벤션센터-407 강의실(소)-4[12-407], [12-407:수(야1)(야2)(야3)], [12-407:수(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1885,교양,교양,전학년,핵심교양,(핵심)외국어,0011640004,기초프랑스어,Basic French,김영은,제12호관 컨벤션센터-403 계단강의실(소)[12-403], [12-403:금(1)(2)(3)], [12-403:금(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1886,교양,교양,전학년,핵심교양,(핵심)외국어,0011644001,기초스페인어,Basic Spanish,문성주,제12호관 컨벤션센터-504 강의실(소)-1[12-504], [12-504:월(2)(3)(4)], [12-504:월(10:00~10:50)(11:00~11:50)(12:00~12:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1887,교양,교양,전학년,핵심교양,(핵심)외국어,0011644002,기초스페인어,Basic Spanish,문성주,제12호관 컨벤션센터-504 강의실(소)-1[12-504], [12-504:월(6)(7)(8)], [12-504:월(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1888,교양,교양,전학년,핵심교양,(핵심)외국어,0011645001,기초독일어,Basic German,최은녕,제12호관 컨벤션센터-406 강의실(소)-3[12-406], [12-406:목(1)(2)(3)], [12-406:목(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1889,교양,교양,전학년,핵심교양,(핵심)외국어,0011645002,기초독일어,Basic German,최은녕,제12호관 컨벤션센터-406 강의실(소)-3[12-406], [12-406:목(6)(7)(8)], [12-406:목(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1890,교양,교양,전학년,핵심교양,(핵심)외국어,0011645003,기초독일어,Basic German,최은녕,제12호관 컨벤션센터-406 강의실(소)-3[12-406], [12-406:목(야1)(야2)(야3)], [12-406:목(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1891,교양,교양,전학년,핵심교양,(핵심)외국어,0011645004,기초독일어,Basic German,이원경,제12호관 컨벤션센터-506 강의실(소)-3[12-506], [12-506:금(2B-3)(4-5A)], [12-506:금(10:30~11:45)(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1892,교양,교양,전학년,핵심교양,(핵심)INU세미나,0011845001,위대한개츠비와그의친구들,The Great Gatsby and His Friends,남정현,제12호관 컨벤션센터-301 토론식강의실1[12-301], [12-301:화(3)(4)(5)], [12-301:화(11:00~11:50)(12:00~12:50)(13:00~13:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1893,교양,교양,전학년,핵심교양,(핵심)사회,0011851001,INU전공탐구,INU Major Exploration,융합자유전공대학,제15호관 인문대학-201 SOUP강의실(계단식(대))[15-201], [15-201:수(5B-6)(7-8A)], [15-201:수(13:30~14:45)(15:00~16:15)],75분,3,일반과목,강의(이론),이수인정,일반(1~15주),비대상
1894,교양,교양,전학년,핵심교양,(핵심)예술체육,0011861001,초급평영,Breaststroke Swimming for Beginners,김민철,제20호관 스포츠센터-110 수영장[20-110], [20-110:수(6)(7)], [20-110:수(14:00~14:50)(15:00~15:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1895,교양,교양,전학년,핵심교양,(핵심)예술체육,0011863001,세계공연예술산책,World Performing Arts Walk,정지호,제12호관 컨벤션센터-108 계단강의실(소)-1[12-108], [12-108:화(2B-3)(4-5A)], [12-108:화(10:30~11:45)(12:00~13:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1896,교양,교양,전학년,핵심교양,(핵심)인문,0012550001,스피치와토론,Speeches and  Debates,안호림,제12호관 컨벤션센터-304 토론식강의실2[12-304], [12-304:월(야1-2A)(야2B-3)], [12-304:월(18:00~19:15)(19:25~20:40)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1897,교양,교양,전학년,핵심교양,(핵심)사회,0012551001,미래를바꾸는말한마디,A word that changes  the future,안호림,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:월(7-8A)(8B-9)], [12-203:월(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1898,교양,교양,전학년,핵심교양,(핵심)사회,0012551002,미래를바꾸는말한마디,A word that changes  the future,안호림,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:화(7-8A)(8B-9)], [12-203:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1899,교양,교양,전학년,핵심교양,(핵심)인문,0012554001,문학과함께행복의길찾기,Learning the Joys with Literature,전미정,제12호관 컨벤션센터-403 계단강의실(소)[12-403], [12-403:화(5)(6)(7)], [12-403:화(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1900,교양,교양,전학년,핵심교양,(핵심)인문,0012554002,문학과함께행복의길찾기,Learning the Joys with Literature,전미정,제12호관 컨벤션센터-503 계단강의실(소)[12-503], [12-503:월(5)(6)(7)], [12-503:월(13:00~13:50)(14:00~14:50)(15:00~15:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1901,교양,교양,전학년,핵심교양,(핵심)인문,XAA1352001,심리학의이해,INTRODUCTION TO PSYCOLOGY,서신화,제12호관 컨벤션센터-303 계단강의실(소)[12-303], [12-303:화(야1-2A)(야2B-3)], [12-303:화(18:00~19:15)(19:25~20:40)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1902,교양,교양,전학년,핵심교양,(핵심)인문,XAA1352002,심리학의이해,INTRODUCTION TO PSYCOLOGY,서신화,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:월(4-5A)(5B-6)], [12-203:월(12:00~13:15)(13:30~14:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1903,교양,교양,전학년,핵심교양,(핵심)인문,XAA1352003,심리학의이해,INTRODUCTION TO PSYCOLOGY,서신화,제12호관 컨벤션센터-303 계단강의실(소)[12-303], [12-303:화(7-8A)(8B-9)], [12-303:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1904,교양,교양,전학년,핵심교양,(핵심)인문,XAA1352004,심리학의이해,INTRODUCTION TO PSYCOLOGY,박준성,제12호관 컨벤션센터-105 하곡강의실(계단식(대))[12-105], [12-105:목(야1)(야2)(야3)], [12-105:목(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1905,교양,교양,전학년,핵심교양,(핵심)인문,XAA1352005,심리학의이해,INTRODUCTION TO PSYCOLOGY,박준성,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:금(6)(7)(8)], [12-101:금(14:00~14:50)(15:00~15:50)(16:00~16:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1906,교양,교양,전학년,핵심교양,(핵심)과학기술,XAA1360001,현대물리학의이해,UNDERSTANDING MODERN PHYSICS,김용철,제12호관 컨벤션센터-108 계단강의실(소)-1[12-108], [12-108:월(4)(5)(6)], [12-108:월(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1907,교양,교양,전학년,핵심교양,(핵심)과학기술,XAA1360002,현대물리학의이해,UNDERSTANDING MODERN PHYSICS,김용철,제12호관 컨벤션센터-103 계단강의실(대)-2[12-103], [12-103:월(7)(8)(9)], [12-103:월(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1908,교양,교양,전학년,핵심교양,(핵심)예술체육,XAA1386001,한국미술과문화,KOREAN ART AND CULTURE,구진경,제12호관 컨벤션센터-506 강의실(소)-3[12-506], [12-506:월(4)(5)(6)], [12-506:월(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1909,교양,교양,전학년,핵심교양,(핵심)예술체육,XAA1386002,한국미술과문화,KOREAN ART AND CULTURE,구진경,제12호관 컨벤션센터-506 강의실(소)-3[12-506], [12-506:월(7)(8)(9)], [12-506:월(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1910,교양,교양,전학년,핵심교양,(핵심)인문,XAA1490001,한국사의이해,UNDERSTANDING OF KOREAN HISTORY,이형우,제12호관 컨벤션센터-101 용정강의실(계단식(대))[12-101], [12-101:목(7-8A)(8B-9)], [12-101:목(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1911,교양,교양,전학년,핵심교양,(핵심)인문,XAA1490002,한국사의이해,UNDERSTANDING OF KOREAN HISTORY,박미선,제12호관 컨벤션센터-505 강의실(소)-2[12-505], [12-505:화(1)(2)(3)], [12-505:화(09:00~09:50)(10:00~10:50)(11:00~11:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1912,교양,교양,전학년,핵심교양,(핵심)인문,XAA1490003,한국사의이해,UNDERSTANDING OF KOREAN HISTORY,박미선,제12호관 컨벤션센터-505 강의실(소)-2[12-505], [12-505:화(4)(5)(6)], [12-505:화(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1913,교양,교양,전학년,핵심교양,(핵심)인문,XAA2032001,서양의역사와문화,WESTERN HISTORY AND CULTURE,안창모,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:목(4)(5)(6)], [12-203:목(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1914,교양,교양,전학년,핵심교양,(핵심)인문,XAA2032002,서양의역사와문화,WESTERN HISTORY AND CULTURE,안창모,제12호관 컨벤션센터-203 계단강의실(소)[12-203], [12-203:목(7)(8)(9)], [12-203:목(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1915,교양,교양,전학년,핵심교양,(핵심)사회,XAA8063001,인간관계와리더십,HUMAN RELATIONS AND LEADERSHIP,홍혜연,제12호관 컨벤션센터-501 강의실(소)-6[12-501], [12-501:월(4)(5)(6)], [12-501:월(12:00~12:50)(13:00~13:50)(14:00~14:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1916,교양,교양,전학년,심화교양,과학기술,0002646001,인간과우주,MAN AND THE UNIVERSE,정연철,제12호관 컨벤션센터-505 강의실(소)-2[12-505], [12-505:월(7)(8)(9)], [12-505:월(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1917,교양,교양,전학년,심화교양,과학기술,0002646002,인간과우주,MAN AND THE UNIVERSE,정연철,제12호관 컨벤션센터-108 계단강의실(소)-1[12-108], [12-108:월(야1)(야2)(야3)], [12-108:월(18:00~18:50)(18:55~19:45)(19:50~20:40)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1918,교양,교양,전학년,심화교양,과학기술,0002647001,녹색성장과환경,GREEN GROWTH AND ENVIRONMENT,박찬진,제12호관 컨벤션센터-107 강의실[12-107], [12-107:월(5B-6)(7-8A)], [12-107:월(13:30~14:45)(15:00~16:15)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1919,교양,교양,전학년,심화교양,사회,0002649001,현대사회와사회복지,CONTEMPORARY SOCIETY AND SOCIAL WELFARE,남은지,제12호관 컨벤션센터-107 강의실[12-107], [12-107:화(7-8A)(8B-9)], [12-107:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1920,교양,교양,전학년,심화교양,예술체육,0003597001,SPORTS CLIMBING,SPORTS CLIMBING,김인경,제15호관 인문대학-218 회화실-5[15-218], [15-218:화(2)(3)], [15-218:화(10:00~10:50)(11:00~11:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1921,교양,교양,전학년,심화교양,예술체육,0003597002,SPORTS CLIMBING,SPORTS CLIMBING,김인경,제15호관 인문대학-218 회화실-5[15-218], [15-218:화(5)(6)], [15-218:화(13:00~13:50)(14:00~14:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1922,교양,교양,전학년,심화교양,예술체육,0003597003,SPORTS CLIMBING,SPORTS CLIMBING,김인경,제15호관 인문대학-218 회화실-5[15-218], [15-218:화(7)(8)], [15-218:화(15:00~15:50)(16:00~16:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1923,교양,교양,전학년,심화교양,예술체육,0003598001,GOLF,GOLF,양종현,제20호관 스포츠센터-211 골프타석[20-211], [20-211:수(3)(4)], [20-211:수(11:00~11:50)(12:00~12:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1924,교양,교양,전학년,심화교양,예술체육,0003598002,GOLF,GOLF,이세원,제20호관 스포츠센터-211 골프타석[20-211], [20-211:수(7)(8)], [20-211:수(15:00~15:50)(16:00~16:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1925,교양,교양,전학년,심화교양,예술체육,0003598003,GOLF,GOLF,이세원,제20호관 스포츠센터-211 골프타석[20-211], [20-211:화(7)(8)], [20-211:화(15:00~15:50)(16:00~16:50)],50분(표준),1,일반과목,예술체육실기,절대평가,일반(1~15주),비대상
1926,교양,교양,전학년,심화교양,사회,0003604001,사회적기업론,STUDY ON SOCIAL ENTERPRISE,양준호,제12호관 컨벤션센터-105 하곡강의실(계단식(대))[12-105], [12-105:화(7-8A)(8B-9)], [12-105:화(15:00~16:15)(16:30~17:45)],75분,3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1927,교양,교양,전학년,심화교양,과학기술,0004327001,물의위기와환경,Water Crisis and Environment,이민수,제12호관 컨벤션센터-108 계단강의실(소)-1[12-108], [12-108:금(3)(4)(5)], [12-108:금(11:00~11:50)(12:00~12:50)(13:00~13:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
1928,교양,교양,전학년,심화교양,과학기술,0004327002,물의위기와환경,Water Crisis and Environment,이민수,제12호관 컨벤션센터-108 계단강의실(소)-1[12-108], [12-108:금(7)(8)(9)], [12-108:금(15:00~15:50)(16:00~16:50)(17:00~17:50)],50분(표준),3,일반과목,강의(이론),상대평가,일반(1~15주),비대상
